,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
25,2022-03-13 23:39:08+00:00,1503153718371360770,"@Vitaliy_Klychko Президент: Путін наважився на вторгнення в Україну лише за підтримки Сі Цзіньпіна.  У 2013 році Сі пообіцяв захист України від війни.  Тепер Зеленський має покликати Сі за зброєю.  Тоді Сі скоріше попросить Путіна припинити агресію, ніж постачати Україні зброю.  ти знаєш чому 🙏",truthofact,1,Truth,uk
26,2022-03-13 23:38:03+00:00,1503153444718317572,"@EspresoTV Антивоєнні мітинги це далеко не мітинги проти окупації України. І мотиви в них далеко не за добро українцям, а страх що через санкції жерти не буде що.",bald64,1,Hennadii Samoliuk,uk
27,2022-03-13 23:33:29+00:00,1503152298264047619,"між Україною та росією треба побудувати таку велику стіну,  як в «грі престолів», бо нашо нам та нечисть. росія завжди, навіть без пана хуйла, буде представляти загрозу для України",al1na_starkova,0,аліна.,uk
28,2022-03-13 23:32:53+00:00,1503152144425398272,"заспокоюю себе тим, що співаю гімн України у думках",Lunatic_Astra,1,Самоквіточка🌠,uk
29,2022-03-13 23:32:24+00:00,1503152025462317063,"Генштаб: стан, положення та характер дій сил оборони України — без суттєвих змін  https://t.co/9nn7rWGzeo",Prichernomorie,0,Prichernomorie,uk
30,2022-03-13 23:32:13+00:00,1503151977190068225,Звернення Президента України Володимира Зеленського увечері 18-го дня ві... https://t.co/Kib46PCupG через @YouTube,denys_lysenko,0,Денис Лисенко,uk
31,2022-03-13 23:31:45+00:00,1503151860131287041,"Доброго вечора, ми з України",clownua_,0,clownua,uk
32,2022-03-13 23:31:44+00:00,1503151856402456582,"Trabajo, espero que Google Translate haga su trabajo.
Якщо ви або хтось із ваших знайомих є громадянином України або іншої національності, переміщеним внаслідок конфлікту, Vodafone пропонує роботу для кандидатів, які відповідають вимогам щодо підготовки т…https://t.co/OxEIMFJ3DV",BeSuingo,0,BeSuingo,uk
33,2022-03-13 23:30:59+00:00,1503151669676236802,"🔱 Зеленський застеріг країни НАТО: це лише питання часу, коли російські бомби впадуть на вашу територію. #uazmi #новини 

🔗 https://t.co/E6NZtcCkFt https://t.co/77AWvhS1zq",UazmiNews,1,UAZMI - Новини України,uk
34,2022-03-13 23:30:23+00:00,1503151514956800001,"@SecBlinken Дякуємо за підтримку. Але будь ласка, надайте зараз літаки чи закрийте небо України від бомб. Air defense to Ukraine. Do more. https://t.co/zKUc0TAAT4",AliasIra,38,Irina Hurtseva 🕊️🌻🇺🇦🌻🕊️,uk
35,2022-03-13 23:27:39+00:00,1503150828324012033,Де списки на прихисток? https://t.co/N6hpElRGkD,SmallUlcer,0,"Доброго дня, ми з України 💪",uk
36,2022-03-13 23:27:32+00:00,1503150800125796359,"@yeoja_killer @karohsi Думаю, через  кофлікти  ОУН(б)(УПА) з польським населенням на території Західної України і сумнозвістної Волинської трагедії",MatMnay,2,вау🇺🇦,uk
37,2022-03-13 23:26:56+00:00,1503150648908386313,"@Ukraine Президент: Путін наважився на вторгнення в Україну лише за підтримки Сі Цзіньпіна.  У 2013 році Сі пообіцяв захист України від війни.  Тепер Зеленський має покликати Сі за зброєю.  Тоді Сі скоріше попросить Путіна припинити агресію, ніж постачати Україні зброю.  ти знаєш чому 🙏",truthofact,1,Truth,uk
38,2022-03-13 23:26:31+00:00,1503150545611198467,"@maryfurtas Подивіться @ragulivna на Ютубі. Там і про Навального з його «Крим нє бутєрброд» і про Дудя, Каца і про всю цю москальську інтєлєгєнцию. На Московії не може бути українофільських лідерів думок тому що проект Рассія протиречить існуванню України, а свого шляху вони так і не знайшли",KaraKarpa,17,Niklas,uk
39,2022-03-13 23:25:27+00:00,1503150276001284097,"Вірте в ЗСУ і в народ України.
Всіх решта нахуй! https://t.co/S9j8583nJU",MariiaMizgha,0,Марія,uk
40,2022-03-13 23:25:21+00:00,1503150248486707203,@yinkirsixxx Козятин - алкогольна столиця України,Barbosiki,0,Ксеня амбасадор уранових шахт,uk
41,2022-03-13 23:21:53+00:00,1503149376591613966,"У Міноборони України підтвердили: Кремль перекидає російських військових із Карабаху - Радіо Свобода

https://t.co/aHs35m92rO

#НовиниУкраїни
#UkraineNews
#UkrainianNews https://t.co/DthIFwOnPk",news_type_c,0,NEWS JAPAN THE WORLD【OFFICIAL】,uk
42,2022-03-13 23:21:47+00:00,1503149351979601920,"Росія попросила Китай про військову допомогу у війні проти України - FT - Європейська правда

https://t.co/dTj6j2o45p

#НовиниУкраїни
#UkraineNews
#UkrainianNews",news_type_c,0,NEWS JAPAN THE WORLD【OFFICIAL】,uk
43,2022-03-13 23:21:45+00:00,1503149343762755588,"Володимир Зеленський відвідав поранених захисників України — Офіційне інтернет-представництво Президента України - Президент

https://t.co/JKym1FqFI1

#НовиниУкраїни
#UkraineNews
#UkrainianNews",news_type_c,0,NEWS JAPAN THE WORLD【OFFICIAL】,uk
44,2022-03-13 23:21:40+00:00,1503149322812067840,"Президент відзначив державними нагородами 106 військових та присвоїв звання Героя України 8 захисникам - Житомир.info

https://t.co/TH3HJFWGsK

#НовиниУкраїни
#UkraineNews
#UkrainianNews https://t.co/FS8uxobrki",news_type_c,0,NEWS JAPAN THE WORLD【OFFICIAL】,uk
45,2022-03-13 23:20:22+00:00,1503148994603757571,"В Херсоні та Бердянську проходять багатотисячні мітинги на підтримку України
https://t.co/kqxk3Y219R
#Київ https://t.co/IYo9GYNxHZ",kievnews888,0,Новини Києва,uk
46,2022-03-13 23:20:01+00:00,1503148907781623823,"Збройні Сили України завдали артилерійського удару по скупченню ворожої техніки під Мелітополем. В результаті знищено близько 200 машин і штаб окупантів.
#stoprussia 
https://t.co/QOTJn3UBCV",slovoidilo,2,Слово і Діло,uk
47,2022-03-13 23:19:12+00:00,1503148704437575683,"У центрі Львова артисти заспівали Гімн України
https://t.co/WH8YV0Gg27
#Львов https://t.co/Z7Xx9mGl24",lvovnews777,0,Новости Львова,uk
48,2022-03-13 23:18:47+00:00,1503148597407330309,@oshentorr наш дуче Кислиця і є постійним представником України в ООН,navgahb,0,маша русофобний слюр,uk
49,2022-03-13 23:17:53+00:00,1503148372047409153,"🔱 ЗСУ знищили ворожий пункт управління. ВIДЕО #uazmi #новини #оос 

🔗 https://t.co/XS7qqtCKBJ https://t.co/HRdrG28Yzu",UazmiNews,1,UAZMI - Новини України,uk
50,2022-03-13 23:17:53+00:00,1503148369828528136,"🔱 Ми повинні визнати, що ми у своїй позиції були непослідовні - міністр економіки ФРН Хабек. #uazmi #новини #оос 

🔗 https://t.co/hfP4BCrptl https://t.co/pgKDoq0FyC",UazmiNews,1,UAZMI - Новини України,uk
51,2022-03-13 23:16:43+00:00,1503148077531680768,"Не згоден. Навіщо Китаю скупляти свої власні ресурси?
🇨🇳 Після зникнення на теренах України ""другої армії світу"", Старший Брат лаптєногих без жодного пострілу просто забере свою Сибір, аж до Уралу.
Настав час відновити історичну справедливість, адже хуйло про це так мріяло! 😁 https://t.co/xULXgd5PQX https://t.co/PZbCcWSRLF",ZampolitGistapo,17,Замполіт гістапо,uk
52,2022-03-13 23:16:00+00:00,1503147897847754763,"знаєте що? я кохаю грету тунберг, вона іноді призупиняє екологічний шітпост на 5 хвилин і робить репост в підтримку України",whereisrost,0,ковбойростик,uk
53,2022-03-13 23:15:20+00:00,1503147728565583879,"Фу якщо ви були такі як я, то нахуй викиньте оце западна східна південна північна Україна і ТД, це все частина однієї України тому краще говорити про частини однієї держави",soymultifactico,0,onest🇺🇦,uk
54,2022-03-13 23:15:02+00:00,1503147653248471057,"@majeolflower @_iwiclm завжди знав, що в донбасі найпередовіші технології, не дарма ви не хочете повертатися до україни",vitolo975,2,Vitalii Fedas 💛💙,uk
55,2022-03-13 23:14:23+00:00,1503147492224942083,так я з україни це напроти європи,vacurem,0,🐈,uk
56,2022-03-13 23:14:16+00:00,1503147462814490635,"—  Росія направляє стратегічні резерви до українських кордонів, щоб доукомлектувати свої війська

Російські загарбники продовжують наступати на територію України. Ворог намагається закріпитися на захоплених позиціях і зберегти темпи на визначених...

https://t.co/q5kapfpfAN https://t.co/MHaGQgu5xw",by_Ukraine,0,Ukraine News ᵁᴾ,uk
57,2022-03-13 23:13:44+00:00,1503147327833448457,@beabsolutehuman То вони за лагері на западній частині України де русню називають москалями от і образились бідосіки,soymultifactico,0,onest🇺🇦,uk
58,2022-03-13 23:13:02+00:00,1503147149198082052,АРЕСТОВИЧ - найкраще заспокійливе 😁 Одобрено МОЗ України 👍 https://t.co/vDjY7vEJEE via @YouTube,sanyokstd,0,Sanyok,uk
59,2022-03-13 23:12:55+00:00,1503147122916573186,"Цікавий виявляється ""гольф клуб"" під Макаровим побудував російський бізнесмен (фсб) під столицею України... Там кажуть шість поверхів у них і система ходів на сотні метрів...
Куди дивилося СБУ, сільська громада, земельщики, архітектура..?
Кажуть ка диров там зараз ховається https://t.co/0rOf7ldUh8",Luckyman_1108,18,Лаур:Балаур,uk
60,2022-03-13 23:12:13+00:00,1503146943081590785,"ВАЖЛИВО ❗️

🇺🇦 Збройні Сили України наполегливо закликають громадян #України, українські #ЗМІ не поширювати, не публікувати та не оприлюднювати жодної інформації та коментарів про матеріально-технічну допомогу від країн-партнерів.

https://t.co/DpvG2ibZab https://t.co/Xjra1NTtpg",geouacom,0,Украина + Грузия,uk
61,2022-03-13 23:11:13+00:00,1503146692677443591,"Протягом доби ППО України вразило чотири літаки, три вертольоти та безпілотний літальний апарат окупантів — командування Повітряних Сил ЗСУ https://t.co/ZiLCgYlOOq",HromadskeUA,83,hromadske,uk
62,2022-03-13 23:10:22+00:00,1503146478856024069,"❗️500 доларів за біженця

The Guardian пише, що #англійці, які поселять у себе будинки біженців з України, отримуватимуть від держави по 350 фунтів на місяць.

Підпишіться:
🔹 На: https://t.co/DpvG2ibZab
🔹 Та: https://t.co/AfNXANvrv1 https://t.co/tkFAwc0zgE",geouacom,0,Украина + Грузия,uk
63,2022-03-13 23:10:14+00:00,1503146447344181248,"@ifyouuhide @iltae01 вони не ""за"" росію, але відкрито не говорять, що хочуть до України. дороги там зробили, ціни підняли і як вони говорять ""работать нам негде"", але тут не знаю наскільки це правда. 
жаліються вони багато, як і весь народ. нема такого, що люди ""за"" чи ""проти"" масово.",honey_shishi,0,•shiro🇺🇦 слава Україні🌻,uk
