,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
23,2022-03-13 23:45:05+00:00,1503155217063464961,"@n_ma_pag Украина ‐ вы победили в войне за свою страну! Сам Господь Иисус Христос будет стрелять за вас! Храни Господь Украину! Да будет проклята россия на уничтожение, распад, на тяжкие мучения! россия будет разрушена, народы будут свободные!",Erzyamastor,1,Финно Угория,ru
24,2022-03-13 23:44:31+00:00,1503155072351739905,"☝️🇺🇦«Это абсолютный рекорд для Украины на зимних Паралимпиадах», - подчеркнули в Комитете.

😍Таким образом, Украина занимает второе место на Паралимпиаде с 11 золотыми, 10 серебряными и 8 бронзовыми медалями.

СМЕРТЬ РОССИЙСКИМ ОККУПАНТАМ!",Ca_Rpe_Die_M,1,ОптимистичнийРеаліст,ru
25,2022-03-13 23:44:28+00:00,1503155061245243393,"Разве Китай пойдёт с войной на самих себя,Украина что Китай,два близнеца брата! Видно у Путина горячка началась раз помощи просит у Китая! Сам напал на Украину,а теперь помощи просит.Попросил бы у Зеленского подмоги и то больше смысла бы было!",_640769507848,0,Сергей Ткаченко,ru
26,2022-03-13 23:44:02+00:00,1503154953250082818,"@letopisi_rus Украина 30 лет делала всё возможное, что бы разрушить свою экономику. Безумие Путина не оправдывает бесконечную стрельбу Украины себе по ногам задолго до 2014. Страны иногда действительно вступают в союзы ""назло"" особенно если находятся под внешним давлением и их толкают на штык.",FvckTheVniverse,2,Dickgirls Daily,ru
27,2022-03-13 23:43:19+00:00,1503154772500701185,"#Ukraine #Belarus #Russia
Поле русской славы смялось
  и скукожилось до слова: Украина.
От величия советской армии остались
  обгорелые машины.

Дым пороховой, величественной славою
  простёрся над свободной Украиной,
А в Россию грузами 200-ми
  потащится зазнайство агрессивное. https://t.co/kFMqa5I8P3",Ewi82rySy,5,Жыве Беларусь,ru
28,2022-03-13 23:42:37+00:00,1503154596767834116,"🙃 Почти явка с повинной:

💬 Мы обещали защиту от России, но не хотели видеть Украину как партнера НАТО, — министр экономики Германии Роберт Хабек в интервью Frankfurter Allgemeine.

Захочет ли теперь Украина принять к себе НАТО?",antiputler_news,207,Аслан,ru
29,2022-03-13 23:42:15+00:00,1503154503134199813,"Я так счастлива это видеть 
Приятно осознавать что Украина не одна https://t.co/kW83cWvO5D",lo_cavo,1,♡к а п у ш а♡ | #нетвойне,ru
30,2022-03-13 23:41:51+00:00,1503154403850993667,"@Vilkovo_Online @_Elena2020 @tsargradtv Здесь скорее идет речь о том, что Украина на протяжении восьми лет становилась плацдармом для США. Уже и в американском телевидении говорят о том, что 2014 год - это проект Виктории Нулланд",valkeriak,0,Валерия Козлова,ru
31,2022-03-13 23:40:45+00:00,1503154125235707906,"@kolezev Спасибо, Украина, за то, что уничтожаете колонны омона, тех кто избивает россиян на мирных митингах! Горите в преисподней проклятые фашисты путлера!",Erzyamastor,0,Финно Угория,ru
32,2022-03-13 23:38:34+00:00,1503153575068901380,"@Pyos_Barbos @kryscina_by Это совсем не соразмерное обвинение. Где была Украина когда были протесты в РБ, почему не защищала северный фронт?
 Десятки тысяч репрессированы, сотни тысяч выдавлены за границу, более 1000 в тюрьмах. Сейчас Беларусь под оккупацией, никто кроме хунты не имеет права голоса.",red_cosanostra,3,cosanostra,ru
33,2022-03-13 23:36:27+00:00,1503153042899746816,"работе Украина получила нужный результат. Чтобы мы имели гарантии - не как по Будапешту, и не как в нашем небе. А чтобы украинцы могли сказать: ""это работает, это гарантии"". https://t.co/onULaHSItt",RuFailedState,14,Pekвием по РФ🇺🇦 #FreeNavalny #НЕТВОЙНЕ🇺🇦,ru
34,2022-03-13 23:35:23+00:00,1503152776603443201,@anatoliisharii Пост майданная Украина-ВСЁ...,ChineseHuaqiao,0,Chinese Huáqiáo,ru
35,2022-03-13 23:35:16+00:00,1503152744558956552,"@Kira_Yarmysh да срать нам на вас ! выходите или не выходите! поздно уже, вам пизда! и вся Украина рада этому! раньше надо было!",kushnirkk,0,Korneliu Kushnir,ru
36,2022-03-13 23:31:49+00:00,1503151877902458885,"Вот вам и Вильна Украина, громодяне. https://t.co/r9N4KKXQA5",grif785,0,Григорий Смирнов,ru
37,2022-03-13 23:31:29+00:00,1503151794804957186,"Это история России! Как вы успели заметить, мы едины народ ! (Россия, Беларусь  и украина). А эти ... что там сидят и разжигают Руссофобию. Даже  не знают история своего государства и его корни! Это шестёрки НАТО. Которые как верные ... выполняют все приказы своего  господина ! https://t.co/5P30cEke3W",rammsteinss,0,Михаил,ru
38,2022-03-13 23:30:28+00:00,1503151539397050370,"@LokuRoku @Leonov_mr Просто так стереть гражданских врага может и Украина, только зачем?",SchrodenKatze,0,Fenekt,ru
39,2022-03-13 23:30:03+00:00,1503151433008435207,@jizeltiny В России кроме поехавших бабок никто не смотрит телевизор. Россия не украина в телевизоре давно все разочаровались.,1nteltweet,0,Al,ru
40,2022-03-13 23:28:29+00:00,1503151039779909634,Но за-то Ленин выделил Украину как отдельную территорию при разделении территории на сектора и в 1991 году СССР развалилась после потому-что начался пиздец и напряжение в стране повышалось и так мы и пришли к тому что у нас есть. Так вот получается Украина и Россия братские люди,willsonhisbery,2,willson hisbery,ru
41,2022-03-13 23:27:45+00:00,1503150854043742208,"#Россия вторгается #Украина военное вторжение. #Русские видят правду.
Это не #фильм или #ани https://t.co/7GjGecjb0f",MitsukuniMito2,0,Taka Ojyalumalu,ru
42,2022-03-13 23:25:31+00:00,1503150290580779013,"@senko Очевидно Украина уничтожит армию оккупантов используя оружие союзников. Интересно, кто со стороны России будет подписать капитуляцию, ведь Путина скорее всего ликвидируют свои бандиты-олигархи",snegovik21,0,Лео Джун Биатрис,ru
